Wavelength,Reading
393.84,0.04044
394.84,0.04409
395.85,0.04408
396.85,0.04638
397.85,0.04517
398.86,0.04402
399.86,0.043
400.86,0.04398
401.86,0.04592
402.86,0.04395
403.87,0.04562
404.87,0.04478
405.87,0.0439
406.87,0.04389
407.87,0.04387
408.86,0.04385
409.86,0.0432
410.86,0.04445
411.86,0.0432
412.86,0.04379
413.86,0.04541
414.85,0.04323
415.85,0.04374
416.85,0.04372
417.84,0.04416
418.84,0.04412
419.83,0.04408
420.83,0.04405
421.82,0.04328
422.82,0.04398
423.81,0.04395
424.8,0.0436
425.8,0.04359
426.79,0.04357
427.78,0.04356
428.77,0.0438
429.76,0.04328
430.76,0.04328
431.75,0.04373
432.74,0.04393
433.73,0.04327
434.72,0.04347
435.71,0.04384
436.7,0.0442
437.69,0.04398
438.67,0.04359
439.66,0.04374
440.65,0.04355
441.64,0.04338
442.62,0.04351
443.61,0.04335
444.6,0.04362
445.58,0.04374
446.57,0.04358
447.55,0.04343
448.54,0.04367
449.52,0.04353
450.51,0.04327
451.49,0.04349
452.47,0.04325
453.46,0.04324
454.44,0.04366
455.42,0.04353
456.4,0.04331
457.39,0.04329
458.37,0.04318
459.35,0.04346
460.33,0.04335
461.31,0.04324
462.29,0.04332
463.27,0.0434
464.25,0.04312
465.23,0.04365
466.2,0.04336
467.18,0.04335
468.16,0.04325
469.14,0.04323
470.11,0.0433
471.09,0.04321
472.07,0.04295
473.04,0.04327
474.02,0.04333
474.99,0.0434
475.97,0.0433
476.94,0.04329
477.92,0.04312
478.89,0.04311
479.86,0.0431
480.84,0.04323
481.81,0.04307
482.78,0.04306
483.75,0.04312
484.73,0.04304
485.7,0.04309
486.67,0.04295
487.64,0.04288
488.61,0.04312
489.58,0.04311
490.55,0.04297
491.52,0.04302
492.49,0.04312
493.45,0.04305
494.42,0.04298
495.39,0.04308
496.36,0.04307
497.32,0.043
498.29,0.04294
499.26,0.04303
500.22,0.04292
501.19,0.04286
502.15,0.0429
503.12,0.04284
504.08,0.04283
505.05,0.04287
506.01,0.04281
506.97,0.04289
507.94,0.04284
508.9,0.04283
509.86,0.04282
510.82,0.04281
511.78,0.0428
512.75,0.04291
513.71,0.04286
514.67,0.04281
515.63,0.04276
516.59,0.04279
517.55,0.04282
518.51,0.04281
519.46,0.0428
520.42,0.04279
521.38,0.04281
522.34,0.04273
523.29,0.04269
524.25,0.04278
525.21,0.04256
526.16,0.04266
527.12,0.04268
528.08,0.04264
529.03,0.0426
529.99,0.04266
530.94,0.04271
531.89,0.04267
532.85,0.04263
533.8,0.04256
534.75,0.04261
535.71,0.04257
536.66,0.04262
537.61,0.04261
538.56,0.04258
539.51,0.04257
540.46,0.04259
541.41,0.04263
542.36,0.0426
543.31,0.04259
544.26,0.04253
545.21,0.04265
546.16,0.04256
547.11,0.04253
548.06,0.04247
549.01,0.04249
549.95,0.04248
550.9,0.04255
551.85,0.04256
552.79,0.04242
553.74,0.04252
554.68,0.04249
555.63,0.04246
556.57,0.04245
557.52,0.04247
558.46,0.04246
559.4,0.04245
560.35,0.0424
561.29,0.04242
562.23,0.04245
563.18,0.04242
564.12,0.04236
565.06,0.04239
566,0.04238
566.94,0.04239
567.88,0.04231
568.82,0.04236
569.76,0.04232
570.7,0.04235
571.64,0.04236
572.58,0.04236
573.52,0.04231
574.45,0.04234
575.39,0.04229
576.33,0.04235
577.27,0.04236
578.2,0.04234
579.14,0.04233
580.07,0.04227
581.01,0.04232
581.94,0.04233
582.88,0.04229
583.81,0.04229
584.75,0.04228
585.68,0.04227
586.61,0.04227
587.55,0.04228
588.48,0.04223
589.41,0.04227
590.34,0.04227
591.27,0.04224
592.21,0.04226
593.14,0.04225
594.07,0.0422
595,0.04219
595.93,0.04224
596.86,0.0422
597.78,0.04218
598.71,0.04217
599.64,0.04217
600.57,0.0422
601.5,0.04214
602.42,0.04219
603.35,0.0422
604.28,0.04215
605.2,0.04211
606.13,0.04214
607.05,0.04215
607.98,0.04215
608.9,0.04207
