Wavelength,Reading
393.84,0.04411
394.84,0.03989
395.85,0.04295
396.85,0.04196
397.85,0.04189
398.86,0.04202
399.86,0.04018
400.86,0.04398
401.86,0.04122
402.86,0.04571
403.87,0.0414
404.87,0.04392
405.87,0.0439
406.87,0.04158
407.87,0.04626
408.86,0.04088
409.86,0.04046
410.86,0.04315
411.86,0.0438
412.86,0.0425
413.86,0.04073
414.85,0.04319
415.85,0.04206
416.85,0.04265
417.84,0.04371
418.84,0.04369
419.83,0.04319
420.83,0.04231
421.82,0.04234
422.82,0.04282
423.81,0.04242
424.8,0.04246
425.8,0.04174
426.79,0.04146
427.78,0.04287
428.77,0.04225
429.76,0.04193
430.76,0.042
431.75,0.04232
432.74,0.04176
433.73,0.04236
434.72,0.0419
435.71,0.04165
436.7,0.04192
437.69,0.04195
438.67,0.04224
439.66,0.04228
440.65,0.04166
441.64,0.04207
442.62,0.04189
443.61,0.04211
444.6,0.04233
445.58,0.04235
446.57,0.04218
447.55,0.04292
448.54,0.04219
449.52,0.0422
450.51,0.04274
451.49,0.04223
452.47,0.04223
453.46,0.04208
454.44,0.04208
455.42,0.04225
456.4,0.04225
457.39,0.04193
458.37,0.04193
459.35,0.0421
460.33,0.0421
461.31,0.04209
462.29,0.04193
463.27,0.0418
464.25,0.04222
465.23,0.04223
466.2,0.04251
467.18,0.04208
468.16,0.04221
469.14,0.04206
470.11,0.04234
471.09,0.04206
472.07,0.04178
473.04,0.04192
474.02,0.04205
474.99,0.04191
475.97,0.04218
476.94,0.04205
477.92,0.04205
478.89,0.04231
479.86,0.04205
480.84,0.04192
481.81,0.04181
482.78,0.04217
483.75,0.04217
484.73,0.04205
485.7,0.04205
486.67,0.04193
487.64,0.04217
488.61,0.04229
489.58,0.04195
490.55,0.04217
491.52,0.04174
492.49,0.04217
493.45,0.04229
494.42,0.04218
495.39,0.04176
496.36,0.04197
497.32,0.04217
498.29,0.04197
499.26,0.04228
500.22,0.04169
501.19,0.04178
502.15,0.04198
503.12,0.04207
504.08,0.04179
505.05,0.04208
506.01,0.04171
506.97,0.04216
507.94,0.04234
508.9,0.04198
509.86,0.04181
510.82,0.04198
511.78,0.04198
512.75,0.0419
513.71,0.04207
514.67,0.0419
515.63,0.0419
516.59,0.04191
517.55,0.04175
518.51,0.04191
519.46,0.0419
520.42,0.04176
521.38,0.04198
522.34,0.04176
523.29,0.04198
524.25,0.04177
525.21,0.04191
526.16,0.04191
527.12,0.04177
528.08,0.04192
529.03,0.04192
529.99,0.04192
530.94,0.04205
531.89,0.04198
532.85,0.04211
533.8,0.04191
534.75,0.04191
