Wavelength,Reading
393.84,-0.00831
394.84,0.00813
395.85,0.03684
396.85,0
397.85,0.02038
398.86,0
399.86,0.01259
400.86,0.00627
401.86,0.01172
402.86,0
403.87,0
404.87,0.00552
405.87,0.01028
406.87,0.00992
407.87,0.00958
408.86,0.00463
409.86,0.01726
410.86,0.00844
411.86,0.01197
412.86,0.00415
413.86,0.01884
414.85,0.01818
415.85,0.01729
416.85,0.0065
417.84,0.02132
418.84,0.02335
419.83,0.02011
420.83,0.00555
421.82,0.02062
422.82,0.01482
423.81,0.01446
424.8,0.00936
425.8,0.01966
426.79,0.01886
427.78,0.02215
428.77,0.01387
429.76,0.01851
430.76,0.0217
431.75,0.01868
432.74,0.01828
433.73,0.02546
434.72,0.02313
435.71,0.02981
436.7,0.02485
437.69,0.02672
438.67,0.02889
439.66,0.02652
440.65,0.03034
441.64,0.0308
442.62,0.02658
443.61,0.03527
444.6,0.03416
445.58,0.03201
446.57,0.03262
447.55,0.03914
448.54,0.03535
449.52,0.03912
450.51,0.04342
451.49,0.04401
452.47,0.04358
453.46,0.04955
454.44,0.04695
455.42,0.05417
456.4,0.05294
457.39,0.0581
458.37,0.05963
459.35,0.06428
460.33,0.06547
461.31,0.07042
462.29,0.07441
463.27,0.07176
464.25,0.07652
465.23,0.08159
466.2,0.08288
467.18,0.08555
468.16,0.08923
469.14,0.09387
470.11,0.09669
471.09,0.10211
472.07,0.10575
473.04,0.11149
474.02,0.11137
474.99,0.11771
475.97,0.12278
476.94,0.12794
477.92,0.12752
478.89,0.13136
479.86,0.13626
480.84,0.13807
481.81,0.13993
482.78,0.14481
483.75,0.14764
484.73,0.14984
485.7,0.15414
486.67,0.15592
487.64,0.15835
488.61,0.16096
489.58,0.16229
490.55,0.16527
491.52,0.167
492.49,0.16905
493.45,0.16758
494.42,0.17234
495.39,0.17432
496.36,0.17602
497.32,0.17607
498.29,0.17865
499.26,0.17804
500.22,0.17919
501.19,0.17934
502.15,0.18164
503.12,0.18081
504.08,0.18145
505.05,0.18075
506.01,0.18268
506.97,0.18176
507.94,0.18321
508.9,0.18111
509.86,0.18191
510.82,0.18044
511.78,0.18063
512.75,0.17944
513.71,0.18156
514.67,0.18076
515.63,0.17839
516.59,0.17814
517.55,0.17703
518.51,0.1804
519.46,0.17855
520.42,0.17738
521.38,0.17624
522.34,0.17597
523.29,0.17464
524.25,0.17444
525.21,0.17224
526.16,0.17143
527.12,0.17092
528.08,0.17106
529.03,0.16884
529.99,0.16782
530.94,0.16763
531.89,0.165
532.85,0.16441
533.8,0.16259
534.75,0.16163
535.71,0.16009
536.66,0.15967
537.61,0.15739
538.56,0.15699
539.51,0.15694
540.46,0.1548
541.41,0.15252
542.36,0.15207
543.31,0.14994
544.26,0.14977
545.21,0.14742
546.16,0.14685
