Wavelength,Reading
393.84,0.93057
394.84,0.8461
395.85,0.83215
396.85,0.75061
397.85,0.74715
398.86,0.67106
399.86,0.57922
400.86,0.51883
401.86,0.51497
402.86,0.45641
403.87,0.3795
404.87,0.3304
405.87,0.30612
406.87,0.28094
407.87,0.25148
408.86,0.24221
409.86,0.21694
410.86,0.2506
411.86,0.22131
412.86,0.22741
413.86,0.23951
414.85,0.25316
415.85,0.24
416.85,0.23314
417.84,0.2608
418.84,0.27355
419.83,0.2754
420.83,0.29076
421.82,0.30184
422.82,0.29385
423.81,0.28664
424.8,0.29029
425.8,0.27801
426.79,0.28232
427.78,0.28535
428.77,0.28188
429.76,0.26908
430.76,0.2671
431.75,0.26736
432.74,0.25645
433.73,0.2555
434.72,0.25176
435.71,0.25293
436.7,0.25472
437.69,0.24648
438.67,0.24678
439.66,0.24966
440.65,0.24975
441.64,0.25243
442.62,0.25668
443.61,0.25752
444.6,0.26607
445.58,0.26066
446.57,0.2661
447.55,0.26411
448.54,0.25984
449.52,0.26637
450.51,0.26078
451.49,0.25941
452.47,0.25573
453.46,0.25746
454.44,0.25582
455.42,0.25982
456.4,0.26063
457.39,0.26888
458.37,0.27018
459.35,0.27588
460.33,0.286
461.31,0.2988
462.29,0.30663
463.27,0.31891
464.25,0.33092
465.23,0.34651
466.2,0.36052
467.18,0.37582
468.16,0.39066
469.14,0.40769
470.11,0.42439
471.09,0.43724
472.07,0.4446
473.04,0.46071
474.02,0.46193
474.99,0.47407
475.97,0.48194
476.94,0.49043
477.92,0.48835
478.89,0.48951
479.86,0.49382
480.84,0.49525
481.81,0.49023
482.78,0.49414
483.75,0.48988
484.73,0.48556
485.7,0.48538
486.67,0.47952
487.64,0.47917
488.61,0.47819
489.58,0.47848
490.55,0.47786
491.52,0.48569
492.49,0.48706
493.45,0.48705
494.42,0.49928
495.39,0.50904
496.36,0.51693
497.32,0.52895
498.29,0.54302
499.26,0.55642
500.22,0.5787
501.19,0.58893
502.15,0.60522
503.12,0.62
504.08,0.63606
505.05,0.65343
506.01,0.6664
506.97,0.67373
507.94,0.6886
508.9,0.70189
509.86,0.7095
510.82,0.71547
511.78,0.72234
512.75,0.72827
513.71,0.72713
514.67,0.7349
515.63,0.73713
516.59,0.73564
517.55,0.73518
518.51,0.73724
519.46,0.72949
520.42,0.72892
521.38,0.71844
522.34,0.7125
523.29,0.70364
524.25,0.69552
525.21,0.6792
526.16,0.66674
527.12,0.64694
528.08,0.63237
529.03,0.60801
529.99,0.58781
530.94,0.56203
531.89,0.53819
532.85,0.51015
533.8,0.48096
534.75,0.45244
535.71,0.41884
536.66,0.39169
537.61,0.36264
538.56,0.33727
539.51,0.32103
540.46,0.30781
541.41,0.30248
542.36,0.30595
543.31,0.31547
544.26,0.3364
545.21,0.36393
546.16,0.39575
547.11,0.43309
548.06,0.47449
549.01,0.51573
549.95,0.55502
550.9,0.59522
551.85,0.63695
552.79,0.67091
553.74,0.70547
554.68,0.73815
555.63,0.76415
556.57,0.79021
557.52,0.81866
558.46,0.842
559.4,0.85834
560.35,0.87652
561.29,0.89265
562.23,0.90945
563.18,0.92145
564.12,0.93567
565.06,0.94248
566,0.95662
566.94,0.96405
567.88,0.97504
568.82,0.98495
569.76,0.98964
570.7,0.99787
571.64,1.00277
572.58,1.00789
573.52,1.01495
574.45,1.0166
575.39,1.02202
576.33,1.031
577.27,1.0344
578.2,1.0376
579.14,1.04408
580.07,1.04704
581.01,1.05408
581.94,1.05176
582.88,1.05387
583.81,1.05803
584.75,1.06189
585.68,1.06024
586.61,1.06488
587.55,1.06573
588.48,1.0676
589.41,1.07282
590.34,1.07496
591.27,1.07765
592.21,1.08193
593.14,1.08
594.07,1.08408
595,1.08322
595.93,1.08524
596.86,1.0852
597.78,1.0891
598.71,1.09011
599.64,1.09125
600.57,1.09234
601.5,1.09716
602.42,1.09419
603.35,1.09856
604.28,1.09707
605.2,1.099
606.13,1.09842
607.05,1.09874
607.98,1.10256
608.9,1.09832
609.83,1.09838
610.75,1.10094
611.68,1.10273
612.6,1.10421
613.52,1.10227
614.44,1.10578
615.37,1.1098
616.29,1.10788
617.21,1.10649
618.13,1.10876
619.05,1.10722
619.97,1.10614
620.89,1.10543
621.81,1.10402
622.73,1.10525
623.65,1.10689
624.57,1.10848
625.49,1.10825
626.4,1.10742
627.32,1.10856
628.24,1.1076
629.15,1.10848
630.07,1.1086
630.99,1.11038
631.9,1.11027
632.82,1.1097
633.73,1.11117
634.65,1.1101
635.56,1.10935
636.48,1.11106
637.39,1.10681
638.3,1.11079
639.21,1.11186
640.13,1.1147
641.04,1.11443
641.95,1.11212
642.86,1.10747
643.77,1.10667
644.68,1.11034
645.59,1.11175
646.5,1.10962
647.41,1.11012
648.32,1.10621
649.23,1.11
650.14,1.10968
651.05,1.11281
651.96,1.1109
652.86,1.1118
653.77,1.10919
654.68,1.10787
655.58,1.10792
656.49,1.10909
657.4,1.11032
658.3,1.10968
659.21,1.11326
660.11,1.10682
661.01,1.10681
661.92,1.11245
662.82,1.10712
663.72,1.1064
664.63,1.10462
665.53,1.10663
666.43,1.10668
667.33,1.10577
668.23,1.10395
669.14,1.10596
670.04,1.10667
670.94,1.10695
671.84,1.10078
672.74,1.1031
673.64,1.10296
674.53,1.10597
675.43,1.1081
676.33,1.10336
677.23,1.10485
678.13,1.10221
679.02,1.09733
679.92,1.10372
680.82,1.10559
681.71,1.10214
682.61,1.09951
683.5,1.09885
684.4,1.09529
685.29,1.09618
686.19,1.09754
687.08,1.09526
687.97,1.09144
688.87,1.08881
689.76,1.09399
690.65,1.09179
691.54,1.08962
692.44,1.08631
693.33,1.08577
694.22,1.08178
695.11,1.0782
696,1.07676
696.89,1.07394
697.78,1.07308
698.67,1.07115
699.56,1.0703
700.44,1.07114
701.33,1.06562
702.22,1.06703
703.11,1.06445
703.99,1.0598
704.88,1.05085
705.77,1.0482
706.65,1.04726
707.54,1.04423
708.42,1.03971
709.31,1.03358
710.19,1.02998
711.08,1.02764
711.96,1.0209
712.84,1.01325
713.73,1.00978
714.61,1.00848
715.49,1.00147
716.37,0.99407
717.26,0.98706
718.14,0.97714
719.02,0.96878
719.9,0.96309
720.78,0.95189
721.66,0.94038
722.54,0.93068
723.42,0.92512
724.3,0.91461
725.17,0.90856
726.05,0.89483
726.93,0.88474
727.81,0.87193
728.68,0.86044
729.56,0.84522
730.44,0.8315
731.31,0.81548
732.19,0.80018
733.06,0.78555
733.94,0.76943
734.81,0.75311
735.69,0.73666
736.56,0.72137
737.43,0.70593
738.31,0.68714
739.18,0.67122
740.05,0.65223
740.92,0.63689
741.79,0.61888
742.67,0.60341
743.54,0.58774
744.41,0.57034
745.28,0.55579
746.15,0.53824
747.02,0.52437
747.89,0.51094
748.75,0.4991
749.62,0.48871
750.49,0.47728
751.36,0.4674
752.23,0.46181
753.09,0.4525
753.96,0.44629
754.83,0.44045
755.69,0.43434
756.56,0.43114
757.42,0.42552
758.29,0.42291
759.15,0.42049
760.01,0.4195
760.88,0.41754
761.74,0.41774
762.6,0.41751
763.47,0.41929
764.33,0.4209
765.19,0.41936
766.05,0.42334
766.91,0.42547
767.78,0.42657
768.64,0.42837
769.5,0.42835
770.36,0.43069
771.21,0.43444
772.07,0.43664
772.93,0.43906
773.79,0.44151
774.65,0.44224
775.51,0.44318
776.36,0.44706
777.22,0.44765
778.08,0.44992
778.93,0.45211
779.79,0.45236
780.64,0.45356
781.5,0.45408
782.35,0.45534
783.21,0.45934
784.06,0.45745
784.92,0.45823
785.77,0.46216
786.62,0.46207
787.47,0.46035
788.33,0.46269
789.18,0.46328
790.03,0.46279
790.88,0.46228
791.73,0.46261
792.58,0.46027
793.43,0.46067
794.28,0.46306
795.13,0.46017
795.98,0.45869
796.83,0.45892
797.68,0.45547
798.53,0.45583
799.37,0.45603
800.22,0.45692
801.07,0.45412
801.91,0.4509
802.76,0.44989
803.61,0.44855
804.45,0.44687
805.3,0.44686
806.14,0.44453
806.98,0.44463
807.83,0.44501
808.67,0.44303
809.52,0.4418
810.36,0.44001
811.2,0.43727
812.04,0.43788
812.89,0.43577
813.73,0.43542
814.57,0.43273
815.41,0.43041
816.25,0.4317
817.09,0.42936
817.93,0.42899
818.77,0.42927
819.61,0.42763
820.45,0.4261
821.28,0.42466
822.12,0.42392
822.96,0.42526
823.8,0.42318
824.63,0.42382
825.47,0.42307
826.31,0.42378
827.14,0.42552
827.98,0.42484
828.81,0.41991
829.65,0.42045
830.48,0.41935
831.31,0.42301
832.15,0.42132
832.98,0.42181
833.81,0.42184
834.65,0.42421
835.48,0.42435
836.31,0.42425
837.14,0.42513
837.97,0.4202
838.8,0.4246
839.63,0.42549
840.46,0.42651
841.29,0.42576
842.12,0.42567
842.95,0.42558
843.78,0.42784
844.61,0.43014
845.44,0.42972
846.26,0.42967
847.09,0.43148
847.92,0.42917
848.74,0.43364
849.57,0.43254
850.4,0.43053
851.22,0.42909
852.05,0.43059
852.87,0.43268
853.69,0.43103
854.52,0.43598
855.34,0.43449
856.17,0.43481
856.99,0.43677
857.81,0.43858
858.63,0.4354
