"Wavelength","Value"
450.5,1.5103
451.49,1.5087
452.47,1.5071
453.45,1.5055
454.43,1.5039
455.42,1.5023
456.4,1.5008
457.38,1.4993
458.36,1.4978
459.34,1.4963
460.32,1.4949
461.3,1.4934
462.28,1.492
463.26,1.4906
464.24,1.4892
465.22,1.4879
466.2,1.4865
467.18,1.4852
468.15,1.4839
469.13,1.4826
470.11,1.4813
471.09,1.48
472.06,1.4788
473.04,1.4775
474.01,1.4763
474.99,1.4751
475.96,1.4739
476.94,1.4727
477.91,1.4716
478.89,1.4704
479.86,1.4693
480.83,1.4682
481.8,1.4671
482.78,1.466
483.75,1.4649
484.72,1.4638
485.69,1.4628
486.66,1.4617
487.63,1.4607
488.6,1.4597
489.57,1.4587
490.54,1.4577
491.51,1.4567
492.48,1.4558
493.45,1.4548
494.42,1.4539
495.38,1.4529
496.35,1.452
497.32,1.4511
498.29,1.4502
499.25,1.4493
500.22,1.4484
501.18,1.4476
502.15,1.4467
503.11,1.4459
504.08,1.445
505.04,1.4442
506,1.4434
506.97,1.4426
507.93,1.4418
508.89,1.441
509.86,1.4402
510.82,1.4394
511.78,1.4387
512.74,1.4379
513.7,1.4372
514.66,1.4364
515.62,1.4357
516.58,1.435
517.54,1.4343
518.5,1.4336
519.46,1.4329
520.42,1.4322
521.38,1.4315
522.33,1.4309
523.29,1.4302
524.25,1.4296
525.2,1.4289
526.16,1.4283
527.12,1.4276
528.07,1.427
529.03,1.4264
529.98,1.4258
530.93,1.4252
531.89,1.4246
532.84,1.424
533.8,1.4234
534.75,1.4228
535.7,1.4223
536.65,1.4217
537.61,1.4212
538.56,1.4206
539.51,1.4201
540.46,1.4195
541.41,1.419
542.36,1.4185
543.31,1.418
544.26,1.4174
545.21,1.4169
546.16,1.4164
547.1,1.4159
548.05,1.4155
549,1.415
549.95,1.4145
550.89,1.414
551.84,1.4135
552.79,1.4131
553.73,1.4126
554.68,1.4122
555.62,1.4117
556.57,1.4113
557.51,1.4108
558.46,1.4104
559.4,1.41
560.34,1.4096
561.29,1.4091
562.23,1.4087
563.17,1.4083
564.11,1.4079
565.05,1.4075
565.99,1.4071
566.94,1.4067
567.88,1.4063
568.82,1.406
569.76,1.4056
570.7,1.4052
571.63,1.4048
572.57,1.4045
573.51,1.4041
574.45,1.4038
575.39,1.4034
576.32,1.403
577.26,1.4027
578.2,1.4024
579.13,1.402
580.07,1.4017
581,1.4014
581.94,1.401
582.87,1.4007
583.81,1.4004
584.74,1.4001
585.68,1.3998
586.61,1.3994
587.54,1.3991
588.47,1.3988
589.41,1.3985
590.34,1.3982
591.27,1.3979
592.2,1.3977
593.13,1.3974
594.06,1.3971
594.99,1.3968
595.92,1.3965
596.85,1.3963
597.78,1.396
598.71,1.3957
