"Wavelength","Value"
450.5,.0367
451.49,.0363
452.47,.0359
453.45,.0355
454.43,.0351
455.42,.0347
456.4,.0343
457.38,.034
458.36,.0336
459.34,.0332
460.32,.0328
461.3,.0324
462.28,.0321
463.26,.0317
464.24,.0313
465.22,.031
466.2,.0306
467.18,.0303
468.15,.03
469.13,.0296
470.11,.0293
471.09,.029
472.06,.0287
473.04,.0284
474.01,.0281
474.99,.0278
475.96,.0275
476.94,.0273
477.91,.027
478.89,.0268
479.86,.0265
480.83,.0263
481.8,.0261
482.78,.0259
483.75,.0257
484.72,.0255
485.69,.0253
486.66,.0251
487.63,.0249
488.6,.0248
489.57,.0246
490.54,.0245
491.51,.0243
492.48,.0242
493.45,.0241
494.42,.024
495.38,.0239
496.35,.0238
497.32,.0237
498.29,.0236
499.25,.0236
500.22,.0235
501.18,.0235
502.15,.0234
503.11,.0234
504.08,.0234
505.04,.0233
506,.0233
506.97,.0233
507.93,.0233
508.89,.0233
509.86,.0233
510.82,.0233
511.78,.0233
512.74,.0234
513.7,.0234
514.66,.0234
515.62,.0235
516.58,.0235
517.54,.0236
518.5,.0236
519.46,.0237
520.42,.0238
521.38,.0239
522.33,.0239
523.29,.024
524.25,.0241
525.2,.0242
526.16,.0243
527.12,.0244
528.07,.0245
529.03,.0246
529.98,.0247
530.93,.0248
531.89,.0249
532.84,.025
533.8,.0251
534.75,.0253
535.7,.0254
536.65,.0255
537.61,.0256
538.56,.0258
539.51,.0259
540.46,.026
541.41,.0262
542.36,.0263
543.31,.0264
544.26,.0266
545.21,.0267
546.16,.0268
547.1,.027
548.05,.0271
549,.0273
549.95,.0274
550.89,.0276
551.84,.0277
552.79,.0279
553.73,.028
554.68,.0282
555.62,.0283
556.57,.0285
557.51,.0286
558.46,.0288
559.4,.0289
560.34,.0291
561.29,.0292
562.23,.0293
563.17,.0295
564.11,.0296
565.05,.0298
565.99,.0299
566.94,.0301
567.88,.0302
568.82,.0304
569.76,.0305
570.7,.0307
571.63,.0308
572.57,.031
573.51,.0311
574.45,.0312
575.39,.0314
576.32,.0315
577.26,.0317
578.2,.0318
579.13,.0319
580.07,.0321
581,.0322
581.94,.0323
582.87,.0325
583.81,.0326
584.74,.0327
585.68,.0329
586.61,.033
587.54,.0331
588.47,.0332
589.41,.0334
590.34,.0335
591.27,.0336
592.2,.0337
593.13,.0338
594.06,.034
594.99,.0341
595.92,.0342
596.85,.0343
597.78,.0344
598.71,.0345
599.64,.0346
600.56,.0347
601.49,.0348
602.42,.0349
603.35,.035
604.27,.0351
605.2,.0352
606.12,.0353
607.05,.0354
607.97,.0355
608.9,.0356
609.82,.0357
610.75,.0358
611.67,.0359
612.59,.036
613.52,.0361
614.44,.0361
615.36,.0362
616.28,.0363
617.2,.0364
618.12,.0365
619.05,.0365
619.97,.0366
620.89,.0367
621.81,.0368
622.72,.0368
623.64,.0369
624.56,.037
625.48,.037
626.4,.0371
627.32,.0371
628.23,.0372
629.15,.0373
630.07,.0373
630.98,.0374
631.9,.0374
632.81,.0375
633.73,.0375
634.64,.0376
635.56,.0376
636.47,.0377
637.38,.0377
638.3,.0378
639.21,.0378
640.12,.0379
641.03,.0379
641.95,.0379
642.86,.038
643.77,.038
644.68,.038
645.59,.0381
646.5,.0381
647.41,.0381
648.32,.0382
649.23,.0382
650.14,.0382
651.04,.0382
651.95,.0383
652.86,.0383
653.77,.0383
654.67,.0383
655.58,.0383
656.48,.0383
657.39,.0384
658.3,.0384
659.2,.0384
660.11,.0384
661.01,.0384
661.91,.0384
662.82,.0384
663.72,.0384
664.62,.0384
665.52,.0384
666.43,.0384
667.33,.0384
668.23,.0385
669.13,.0385
670.03,.0384
670.93,.0384
671.83,.0384
672.73,.0384
673.63,.0384
674.53,.0384
675.43,.0384
676.33,.0384
677.22,.0384
678.12,.0384
679.02,.0384
679.91,.0384
680.81,.0383
681.71,.0383
682.6,.0383
683.5,.0383
684.39,.0383
685.29,.0383
686.18,.0382
687.07,.0382
687.97,.0382
688.86,.0382
689.75,.0382
690.65,.0381
691.54,.0381
692.43,.0381
693.32,.0381
694.21,.038
695.1,.038
695.99,.038
696.88,.0379
697.77,.0379
698.66,.0379
699.55,.0378
700.44,.0378
701.33,.0378
702.21,.0377
703.1,.0377
703.99,.0377
704.88,.0376
705.76,.0376
706.65,.0376
707.53,.0375
708.42,.0375
709.3,.0374
710.19,.0374
711.07,.0374
711.96,.0373
712.84,.0373
713.72,.0372
714.6,.0372
715.49,.0371
716.37,.0371
717.25,.0371
718.13,.037
719.01,.037
719.89,.0369
720.77,.0369
721.65,.0368
722.53,.0368
723.41,.0367
724.29,.0367
725.17,.0366
726.05,.0366
726.92,.0365
727.8,.0365
728.68,.0364
729.56,.0364
730.43,.0363
731.31,.0362
732.18,.0362
733.06,.0361
733.93,.0361
734.81,.036
735.68,.036
736.56,.0359
737.43,.0359
738.3,.0358
739.17,.0357
740.05,.0357
740.92,.0356
741.79,.0356
742.66,.0355
743.53,.0354
744.4,.0354
745.27,.0353
746.14,.0353
747.01,.0352
747.88,.0351
748.75,.0351
749.62,.035
750.49,.035
751.35,.0349
752.22,.0348
753.09,.0348
753.95,.0347
754.82,.0346
755.69,.0346
756.55,.0345
757.42,.0344
758.28,.0344
759.15,.0343
760.01,.0343
760.87,.0342
761.74,.0341
762.6,.0341
763.46,.034
764.32,.0339
765.19,.0339
766.05,.0338
766.91,.0337
767.77,.0337
768.63,.0336
769.49,.0335
770.35,.0334
771.21,.0334
772.07,.0333
772.93,.0332
773.79,.0332
774.64,.0331
775.5,.033
776.36,.033
777.22,.0329
778.07,.0328
778.93,.0328
779.78,.0327
780.64,.0326
781.49,.0326
782.35,.0325
783.2,.0324
784.06,.0323
784.91,.0323
785.76,.0322
786.62,.0321
787.47,.0321
788.32,.032
789.17,.0319
790.03,.0319
790.88,.0318
791.73,.0317
792.58,.0316
793.43,.0316
794.28,.0315
795.13,.0314
795.98,.0314
796.82,.0313
797.67,.0312
798.52,.0311
799.37,.0311
