Wavelength,Reading
393.84,0.04411
394.84,0.04928
395.85,0.04408
396.85,0.04638
397.85,0.04743
398.86,0.04981
399.86,0.045
400.86,0.04692
401.86,0.0469
402.86,0.04575
403.87,0.04562
404.87,0.04822
405.87,0.04621
406.87,0.04608
407.87,0.04826
408.86,0.04668
409.86,0.04574
410.86,0.04763
411.86,0.0468
412.86,0.04729
413.86,0.04651
414.85,0.0448
415.85,0.0452
416.85,0.04664
417.84,0.04735
418.84,0.04669
419.83,0.04608
420.83,0.04598
421.82,0.04587
422.82,0.04502
423.81,0.04526
424.8,0.04422
425.8,0.04448
426.79,0.04414
427.78,0.04383
428.77,0.04407
429.76,0.04328
430.76,0.04328
431.75,0.04373
432.74,0.04327
433.73,0.04242
434.72,0.04226
435.71,0.04169
436.7,0.0423
437.69,0.04178
438.67,0.04115
439.66,0.04119
440.65,0.04065
441.64,0.0404
442.62,0.03989
443.61,0.03928
444.6,0.03922
445.58,0.03879
446.57,0.03852
447.55,0.03823
448.54,0.03774
449.52,0.03749
450.51,0.03689
451.49,0.03665
452.47,0.03625
453.46,0.03592
454.44,0.03571
455.42,0.03527
456.4,0.03467
457.39,0.0347
458.37,0.03418
459.35,0.03378
460.33,0.03343
461.31,0.03321
462.29,0.0327
463.27,0.03237
464.25,0.03213
465.23,0.03188
466.2,0.03174
467.18,0.03129
468.16,0.03088
469.14,0.03048
470.11,0.03002
471.09,0.02964
472.07,0.02962
473.04,0.02933
474.02,0.02902
474.99,0.02861
475.97,0.0284
476.94,0.02814
477.92,0.02797
478.89,0.02775
479.86,0.02743
480.84,0.02719
481.81,0.027
482.78,0.02678
483.75,0.02661
484.73,0.02632
485.7,0.02609
486.67,0.02593
487.64,0.02571
488.61,0.02565
489.58,0.02544
490.55,0.02511
491.52,0.025
492.49,0.02489
493.45,0.02467
494.42,0.02456
495.39,0.02441
496.36,0.02433
497.32,0.02427
498.29,0.02404
499.26,0.02407
500.22,0.02392
501.19,0.02385
502.15,0.02372
503.12,0.02379
504.08,0.02352
505.05,0.0236
506.01,0.02354
506.97,0.0235
507.94,0.02342
508.9,0.02334
509.86,0.02335
510.82,0.02338
511.78,0.02343
512.75,0.02347
513.71,0.02344
514.67,0.02353
515.63,0.02347
516.59,0.02343
517.55,0.02352
518.51,0.0236
519.46,0.02366
520.42,0.02372
521.38,0.02372
522.34,0.02375
523.29,0.02385
524.25,0.02391
525.21,0.02395
526.16,0.02404
527.12,0.02416
528.08,0.02425
529.03,0.02436
529.99,0.02438
530.94,0.02451
531.89,0.02465
532.85,0.02484
533.8,0.02482
534.75,0.02503
535.71,0.0251
536.66,0.02519
537.61,0.02531
538.56,0.02555
539.51,0.0256
540.46,0.0258
541.41,0.02598
542.36,0.02611
543.31,0.02622
544.26,0.0263
545.21,0.02652
546.16,0.02659
547.11,0.02686
548.06,0.02691
549.01,0.02707
549.95,0.02731
550.9,0.02747
551.85,0.02761
552.79,0.02777
553.74,0.02791
554.68,0.02808
555.63,0.02825
556.57,0.02842
557.52,0.02857
558.46,0.02878
559.4,0.02895
560.35,0.02908
561.29,0.02921
562.23,0.0294
563.18,0.02952
564.12,0.02972
565.06,0.02988
566,0.02993
566.94,0.03016
567.88,0.03026
568.82,0.03052
569.76,0.03063
570.7,0.03089
571.64,0.03104
572.58,0.03118
573.52,0.03129
574.45,0.03145
575.39,0.03164
576.33,0.03181
577.27,0.03186
578.2,0.03205
579.14,0.03218
580.07,0.0323
581.01,0.03254
581.94,0.03272
582.88,0.03287
583.81,0.03296
584.75,0.03311
585.68,0.03323
586.61,0.03341
587.55,0.03355
588.48,0.03368
589.41,0.03381
590.34,0.03391
591.27,0.03406
592.21,0.03413
593.14,0.03427
594.07,0.03437
595,0.03453
595.93,0.03471
596.86,0.03479
597.78,0.03485
598.71,0.03499
599.64,0.03517
600.57,0.03528
601.5,0.03534
602.42,0.03546
603.35,0.03562
604.28,0.03563
605.2,0.03577
