Wavelength,Reading
393.84,0.0063
394.84,0.0105
395.85,0.0113
396.85,0.00839
397.85,0.00967
398.86,0.01
399.86,0.00765
400.86,0.00628
401.86,0.01099
402.86,0.00967
403.87,0.0076
404.87,0.00627
405.87,0.00911
406.87,0.00693
407.87,0.00957
408.86,0.00818
409.86,0.00809
410.86,0.01079
411.86,0.00863
412.86,0.00901
413.86,0.00851
414.85,0.00966
415.85,0.00897
416.85,0.0081
417.84,0.00843
418.84,0.0102
419.83,0.00874
420.83,0.0099
421.82,0.00873
422.82,0.00938
423.81,0.0092
424.8,0.01024
425.8,0.00887
426.79,0.00984
427.78,0.00933
428.77,0.00935
429.76,0.0096
430.76,0.00943
431.75,0.01006
432.74,0.00893
433.73,0.01003
434.72,0.01067
435.71,0.01003
436.7,0.00991
437.69,0.00962
438.67,0.01009
439.66,0.01034
440.65,0.01036
441.64,0.01041
442.62,0.00968
443.61,0.01032
444.6,0.00992
445.58,0.01059
446.57,0.01097
447.55,0.01045
448.54,0.01027
449.52,0.01082
450.51,0.01064
451.49,0.01099
452.47,0.01068
453.46,0.01089
454.44,0.01093
455.42,0.01152
456.4,0.01096
457.39,0.01131
458.37,0.01095
459.35,0.01144
460.33,0.01151
461.31,0.01147
462.29,0.01146
463.27,0.01152
464.25,0.01179
465.23,0.01158
466.2,0.01177
467.18,0.01206
468.16,0.01216
469.14,0.01202
470.11,0.01226
471.09,0.0121
472.07,0.01212
473.04,0.01241
474.02,0.01243
474.99,0.01238
475.97,0.01257
476.94,0.0126
477.92,0.01265
478.89,0.01293
479.86,0.01308
480.84,0.01304
481.81,0.01302
482.78,0.01314
483.75,0.01299
484.73,0.01324
485.7,0.01325
486.67,0.01358
487.64,0.01374
488.61,0.01348
489.58,0.0136
490.55,0.01391
491.52,0.01388
492.49,0.01395
493.45,0.0141
494.42,0.01406
495.39,0.01402
496.36,0.01402
497.32,0.01402
498.29,0.01436
499.26,0.01419
500.22,0.01409
501.19,0.01406
502.15,0.01441
503.12,0.01466
504.08,0.01459
505.05,0.01483
506.01,0.01473
506.97,0.01488
507.94,0.01484
508.9,0.01494
509.86,0.01496
510.82,0.01501
511.78,0.01494
512.75,0.01498
513.71,0.01511
514.67,0.01507
515.63,0.01525
516.59,0.01531
517.55,0.01534
518.51,0.01557
519.46,0.01551
520.42,0.01538
521.38,0.01562
522.34,0.01572
523.29,0.01563
524.25,0.01567
525.21,0.01569
526.16,0.01563
527.12,0.01579
528.08,0.01596
529.03,0.01587
529.99,0.01606
530.94,0.01597
531.89,0.01608
532.85,0.01616
533.8,0.01628
534.75,0.01622
535.71,0.01619
536.66,0.0162
537.61,0.01633
538.56,0.01629
539.51,0.01641
540.46,0.01639
541.41,0.01645
542.36,0.01644
543.31,0.01651
544.26,0.01655
545.21,0.01645
546.16,0.01653
547.11,0.01661
548.06,0.01663
549.01,0.0166
549.95,0.01679
550.9,0.01668
551.85,0.01676
552.79,0.0168
553.74,0.01683
554.68,0.01684
555.63,0.01693
556.57,0.01687
557.52,0.01695
558.46,0.01689
559.4,0.01698
560.35,0.01714
561.29,0.01701
562.23,0.01709
563.18,0.01711
564.12,0.01703
565.06,0.01719
566,0.01722
566.94,0.01723
567.88,0.01717
568.82,0.01726
569.76,0.0173
570.7,0.01731
571.64,0.01729
572.58,0.01736
573.52,0.01737
574.45,0.01727
575.39,0.01735
576.33,0.0174
577.27,0.01753
578.2,0.01745
579.14,0.01745
580.07,0.01759
581.01,0.01747
581.94,0.01746
582.88,0.01754
583.81,0.01756
584.75,0.01765
585.68,0.01758
586.61,0.01756
587.55,0.01768
588.48,0.01764
589.41,0.0178
590.34,0.01786
