Wavelength,Reading
393.84,0
394.84,0.00813
395.85,0.01474
396.85,0.00756
397.85,0.02717
398.86,0
399.86,0.02518
400.86,0.00627
401.86,0.02931
402.86,0
403.87,0.00574
404.87,0.00552
405.87,0.01543
406.87,0.00992
407.87,0.01437
408.86,0.00463
409.86,0.02589
410.86,0.00422
411.86,0.01197
412.86,0
413.86,0.0113
414.85,0.01454
415.85,0.00692
416.85,0
417.84,0.01218
418.84,0.00876
419.83,0.01149
420.83,0
421.82,0.00773
422.82,0.00494
423.81,0.00964
424.8,0.00234
425.8,0.01311
426.79,0.0021
427.78,0.01007
428.77,0.00198
429.76,0.0037
430.76,0.00723
431.75,0.00849
432.74,0.00166
433.73,0.00796
434.72,0.00463
435.71,0.00745
436.7,0.00439
437.69,0.00562
438.67,0.00275
439.66,0.00265
440.65,0.00506
441.64,0.0037
442.62,0
443.61,0.00588
444.6,0.00342
445.58,0.00442
446.57,0.00109
447.55,0.00423
448.54,0
449.52,0.00401
450.51,0.00296
451.49,0.00293
452.47,0.00189
453.46,0.00374
454.44,0.00184
455.42,0.00451
456.4,0.00179
457.39,0.00264
458.37,0
459.35,0.00171
460.33,0.00085
461.31,0.00335
462.29,0.00496
463.27,0.00408
464.25,0.00081
465.23,0.00242
466.2,0.0008
467.18,0.00392
468.16,0
469.14,0.00156
470.11,0.00077
471.09,0.00381
472.07,0.00228
473.04,0.00299
474.02,0.00148
474.99,0.00292
475.97,0.00144
476.94,0.00286
477.92,0
478.89,0.00141
479.86,0.00069
480.84,0.0041
481.81,0.00137
482.78,0.00404
483.75,0.00134
484.73,0.00197
485.7,0.00194
486.67,0.00379
487.64,0.00189
488.61,0.00247
489.58,0
490.55,0.00297
491.52,0.00177
492.49,0.00234
493.45,0
494.42,0.00285
495.39,0.00113
496.36,0.00384
497.32,0.00108
498.29,0.00158
499.26,0.00157
500.22,0.00364
501.19,0.00052
502.15,0.00202
503.12,0.001
504.08,0.00198
505.05,0.00049
506.01,0.00339
506.97,0.00048
507.94,0.0033
508.9,0.00138
509.86,0.00137
510.82,0.00045
511.78,0.00044
512.75,0.00044
513.71,0.00303
514.67,0.00172
515.63,0.00254
516.59,0.00083
517.55,0.00165
518.51,0.00123
519.46,0.00242
520.42,0.00121
521.38,0.00276
522.34,0.00078
523.29,0.00192
524.25,0.00076
525.21,0.00336
526.16,0.00037
527.12,0.00073
528.08,0.00145
529.03,0.00214
529.99,0.00245
530.94,0.00378
531.89,0.00171
532.85,0.0027
533.8,0.00301
534.75,0.00294
535.71,0.00293
536.66,0.00225
537.61,0.00318
538.56,0.00378
539.51,0.00463
540.46,0.00456
541.41,0.00358
542.36,0.00498
543.31,0.00582
544.26,0.00827
545.21,0.00932
546.16,0.01279
547.11,0.01689
548.06,0.02138
549.01,0.02698
549.95,0.03429
550.9,0.04221
551.85,0.05143
552.79,0.06116
553.74,0.07146
554.68,0.08306
555.63,0.09413
556.57,0.10505
557.52,0.11706
558.46,0.12823
559.4,0.14083
560.35,0.15096
561.29,0.16303
562.23,0.17277
563.18,0.18276
564.12,0.19136
565.06,0.20178
566,0.20686
566.94,0.21538
567.88,0.22165
568.82,0.22908
569.76,0.23491
570.7,0.24211
571.64,0.24533
572.58,0.25076
573.52,0.2543
574.45,0.26053
575.39,0.26363
576.33,0.26541
577.27,0.26741
578.2,0.27056
579.14,0.27368
580.07,0.27699
581.01,0.27984
581.94,0.28138
582.88,0.28211
583.81,0.28294
584.75,0.28551
585.68,0.28596
586.61,0.28614
587.55,0.2884
588.48,0.29151
589.41,0.2934
590.34,0.29304
591.27,0.29152
592.21,0.29275
593.14,0.29296
594.07,0.29373
595,0.29401
595.93,0.29316
596.86,0.29327
597.78,0.29423
598.71,0.29658
599.64,0.29633
600.57,0.29583
601.5,0.29529
602.42,0.29571
603.35,0.29602
604.28,0.29775
605.2,0.29642
606.13,0.29479
607.05,0.29455
607.98,0.2937
608.9,0.29582
609.83,0.2965
610.75,0.2981
611.68,0.29943
612.6,0.29819
613.52,0.29921
614.44,0.29702
615.37,0.29647
616.29,0.29855
617.21,0.29787
618.13,0.29775
619.05,0.29744
619.97,0.29656
620.89,0.29683
621.81,0.29805
622.73,0.29895
623.65,0.29929
624.57,0.29972
625.49,0.30029
626.4,0.29868
627.32,0.29843
628.24,0.29801
629.15,0.29727
630.07,0.2974
630.99,0.29624
631.9,0.2991
632.82,0.29966
633.73,0.29906
634.65,0.29675
635.56,0.29682
636.48,0.29728
637.39,0.29622
638.3,0.29667
639.21,0.29819
640.13,0.2982
641.04,0.29815
641.95,0.30051
642.86,0.29854
643.77,0.29649
644.68,0.29656
645.59,0.29853
646.5,0.2986
647.41,0.29691
648.32,0.29318
649.23,0.29435
650.14,0.29609
651.05,0.29652
651.96,0.29987
652.86,0.30214
653.77,0.30067
654.68,0.29828
655.58,0.29795
656.49,0.2982
657.4,0.2982
658.3,0.29872
659.21,0.29778
660.11,0.29552
661.01,0.29541
661.92,0.29719
662.82,0.29947
663.72,0.30084
664.63,0.2998
665.53,0.29734
666.43,0.29664
667.33,0.29639
668.23,0.29608
669.14,0.29805
670.04,0.29981
670.94,0.2992
671.84,0.29845
672.74,0.29838
673.64,0.29838
674.53,0.29961
675.43,0.29778
676.33,0.29621
677.23,0.29621
678.13,0.29585
679.02,0.29599
679.92,0.29653
680.82,0.29615
681.71,0.29754
682.61,0.29655
683.5,0.29688
684.4,0.29759
685.29,0.29756
686.19,0.29824
687.08,0.2978
687.97,0.29644
688.87,0.29657
689.76,0.29606
690.65,0.29746
691.54,0.29741
692.44,0.29679
693.33,0.29781
694.22,0.29879
695.11,0.29803
696,0.29693
696.89,0.29736
697.78,0.29766
698.67,0.29721
699.56,0.29539
700.44,0.2959
701.33,0.29762
702.22,0.29878
703.11,0.29867
703.99,0.29723
704.88,0.29708
705.77,0.29551
706.65,0.2943
707.54,0.29565
708.42,0.29639
709.31,0.29663
710.19,0.29669
711.08,0.29501
711.96,0.29492
712.84,0.2967
713.73,0.29752
714.61,0.29773
715.49,0.29656
716.37,0.29638
717.26,0.29775
718.14,0.29805
719.02,0.29646
719.9,0.29488
720.78,0.29395
721.66,0.29312
722.54,0.29369
723.42,0.29519
724.3,0.29731
725.17,0.29713
726.05,0.29597
726.93,0.29664
727.81,0.29706
728.68,0.29823
729.56,0.29822
730.44,0.298
731.31,0.29763
732.19,0.29762
733.06,0.29807
733.94,0.2988
734.81,0.30016
735.69,0.29926
736.56,0.29813
737.43,0.29804
738.31,0.29772
739.18,0.29781
740.05,0.29718
740.92,0.29682
741.79,0.29534
742.67,0.29371
743.54,0.29123
744.41,0.29126
745.28,0.29213
746.15,0.2937
747.02,0.29437
747.89,0.29588
748.75,0.29544
749.62,0.29428
750.49,0.29576
751.36,0.29632
752.23,0.29791
753.09,0.2985
753.96,0.29626
754.83,0.29352
755.69,0.29335
756.56,0.29425
757.42,0.2938
758.29,0.2948
759.15,0.2951
760.01,0.29592
760.88,0.29432
761.74,0.29414
762.6,0.29515
763.47,0.29511
764.33,0.29423
765.19,0.29321
766.05,0.29351
766.91,0.29419
767.78,0.29262
768.64,0.29204
769.5,0.29481
770.36,0.29659
771.21,0.29743
772.07,0.29759
772.93,0.29727
773.79,0.29528
774.65,0.29323
775.51,0.29357
776.36,0.29332
777.22,0.2936
778.08,0.29448
778.93,0.2932
779.79,0.29415
780.64,0.29377
781.5,0.2934
782.35,0.29425
783.21,0.29429
784.06,0.29301
784.92,0.29291
785.77,0.29218
786.62,0.29197
787.47,0.29213
788.33,0.2932
789.18,0.29153
790.03,0.29267
790.88,0.29319
791.73,0.29295
792.58,0.29239
793.43,0.29289
794.28,0.29337
795.13,0.29447
795.98,0.29625
796.83,0.29492
