Wavelength,Reading
393.84,0.01662
394.84,0
395.85,0.0221
396.85,0
397.85,0.02038
398.86,0
399.86,0.01888
400.86,0.01254
401.86,0.02345
402.86,0
403.87,0.01149
404.87,0.01105
405.87,0.00514
406.87,0.00992
407.87,0.01916
408.86,0.00463
409.86,0.01294
410.86,0.00422
411.86,0.01197
412.86,0
413.86,0.01507
414.85,0.01818
415.85,0
416.85,0
417.84,0.01218
418.84,0.01459
419.83,0.01149
420.83,0.00278
421.82,0.00773
422.82,0.00494
423.81,0.01205
424.8,0.00234
425.8,0.01311
426.79,0.0021
427.78,0.00805
428.77,0
429.76,0.0037
430.76,0.00362
431.75,0.0051
432.74,0.00166
433.73,0.00796
434.72,0.00463
435.71,0.00745
436.7,0.00439
437.69,0.00281
438.67,0.00138
439.66,0.00398
440.65,0.00506
441.64,0.00616
442.62,0
443.61,0.00588
444.6,0.00342
445.58,0.00331
446.57,0.00109
447.55,0.00423
448.54,0
449.52,0.00401
450.51,0.00296
451.49,0.00098
452.47,0.00189
453.46,0.0028
454.44,0.00184
455.42,0.00361
456.4,0.0009
457.39,0.00264
458.37,0
459.35,0.00086
460.33,0.0017
461.31,0.00335
462.29,0.00248
463.27,0.00163
464.25,0.00163
465.23,0.00242
466.2,0
467.18,0.00157
468.16,0
469.14,0.00078
470.11,0
471.09,0.00229
472.07,0.00228
473.04,0.00374
474.02,0.00074
474.99,0.00146
475.97,0.00361
476.94,0.00214
477.92,0
478.89,0.00212
479.86,0.00208
480.84,0.0041
481.81,0.00068
482.78,0.00337
483.75,0
484.73,0.00197
485.7,0.00065
486.67,0.00189
487.64,0.00126
488.61,0.00247
489.58,0.00122
490.55,0.00297
491.52,0.00118
492.49,0.00175
493.45,0
494.42,0.00171
495.39,0.00056
496.36,0.00274
497.32,0.00108
498.29,0.00316
499.26,0.00157
500.22,0.00364
501.19,0.00155
502.15,0.00202
503.12,0.001
504.08,0.00297
505.05,0
506.01,0.00242
506.97,0
507.94,0.00235
508.9,0.00138
509.86,0.00137
510.82,0.00045
511.78,0.00044
512.75,0.00044
513.71,0.00173
514.67,0.00129
515.63,0.00127
516.59,0.00125
517.55,0.00206
518.51,0.00123
519.46,0.00242
520.42,0.0008
521.38,0.00118
522.34,0.00078
523.29,0.00115
524.25,0.00076
525.21,0.00299
526.16,0.00074
527.12,0.00183
528.08,0.00182
529.03,0.0025
529.99,0.00035
530.94,0.00344
531.89,0.00068
532.85,0.00169
533.8,0.00167
534.75,0.00262
535.71,0.00261
536.66,0.00225
537.61,0.00223
538.56,0.00221
539.51,0.00371
540.46,0.00274
541.41,0.00179
542.36,0.00264
543.31,0.00204
544.26,0.00285
545.21,0.00282
546.16,0.00167
547.11,0.00277
548.06,0.00247
549.01,0.00272
549.95,0.00375
550.9,0.00288
551.85,0.00338
552.79,0.00283
553.74,0.00304
554.68,0.00301
555.63,0.00347
556.57,0.00271
557.52,0.00365
558.46,0.00336
559.4,0.00402
560.35,0.00349
561.29,0.00414
562.23,0.00322
563.18,0.00434
564.12,0.00499
565.06,0.00446
566,0.00484
566.94,0.0059
567.88,0.00584
568.82,0.00643
569.76,0.00659
570.7,0.00829
571.64,0.00742
572.58,0.00858
573.52,0.0087
574.45,0.01059
575.39,0.01091
576.33,0.0129
577.27,0.0135
578.2,0.01582
579.14,0.01775
580.07,0.01956
581.01,0.02212
581.94,0.02506
582.88,0.02852
583.81,0.0322
584.75,0.03596
585.68,0.04146
586.61,0.04651
587.55,0.05422
588.48,0.06088
589.41,0.06928
590.34,0.07751
591.27,0.0871
592.21,0.09719
593.14,0.1084
594.07,0.11908
595,0.13165
595.93,0.14349
596.86,0.1554
597.78,0.16782
598.71,0.18146
599.64,0.19319
600.57,0.20491
601.5,0.21435
602.42,0.22489
603.35,0.23488
604.28,0.24513
605.2,0.25308
606.13,0.26056
607.05,0.26755
607.98,0.27255
608.9,0.27949
609.83,0.28634
610.75,0.29226
611.68,0.29777
612.6,0.29945
613.52,0.30406
614.44,0.30527
615.37,0.3072
616.29,0.31214
617.21,0.31403
618.13,0.31474
619.05,0.31596
619.97,0.3186
620.89,0.32024
621.81,0.32086
622.73,0.32284
623.65,0.32335
624.57,0.32402
625.49,0.32616
626.4,0.32549
627.32,0.32528
628.24,0.32563
629.15,0.32615
630.07,0.32657
630.99,0.32692
631.9,0.32862
632.82,0.32972
633.73,0.32767
634.65,0.32522
635.56,0.32495
636.48,0.32553
637.39,0.32626
638.3,0.32642
639.21,0.32764
640.13,0.32907
641.04,0.32808
641.95,0.32984
642.86,0.32815
643.77,0.32624
644.68,0.32609
645.59,0.32785
646.5,0.32808
647.41,0.32779
648.32,0.32456
649.23,0.32563
650.14,0.32736
651.05,0.3274
651.96,0.32997
652.86,0.3312
653.77,0.32969
654.68,0.32803
655.58,0.32734
656.49,0.32846
657.4,0.32732
658.3,0.32722
659.21,0.32689
660.11,0.32569
661.01,0.32639
661.92,0.32665
662.82,0.32745
663.72,0.3278
664.63,0.32723
665.53,0.32548
666.43,0.32418
667.33,0.32358
668.23,0.32398
669.14,0.32516
670.04,0.32571
670.94,0.32564
671.84,0.32601
672.74,0.32632
673.64,0.32465
674.53,0.32632
675.43,0.32491
676.33,0.32382
677.23,0.32345
678.13,0.32388
679.02,0.32356
679.92,0.32409
680.82,0.32352
681.71,0.32376
682.61,0.32444
683.5,0.32413
684.4,0.3245
685.29,0.32473
686.19,0.32432
687.08,0.32426
687.97,0.32258
688.87,0.32205
689.76,0.32173
690.65,0.32161
691.54,0.321
692.44,0.32191
693.33,0.32281
694.22,0.32357
695.11,0.32245
696,0.32099
696.89,0.31997
697.78,0.32095
698.67,0.32123
699.56,0.32015
700.44,0.32007
701.33,0.32055
702.22,0.32117
703.11,0.32203
703.99,0.32169
704.88,0.32035
705.77,0.31788
