Wavelength,Reading
393.84,0.21603
394.84,0.23341
395.85,0.28209
396.85,0.2866
397.85,0.25811
398.86,0.27632
399.86,0.24824
400.86,0.25338
401.86,0.33187
402.86,0.28943
403.87,0.28219
404.87,0.32007
405.87,0.30612
406.87,0.28094
407.87,0.31854
408.86,0.33409
409.86,0.31336
410.86,0.32431
411.86,0.33532
412.86,0.34112
413.86,0.34956
414.85,0.3496
415.85,0.35708
416.85,0.34416
417.84,0.36513
418.84,0.36825
419.83,0.35612
420.83,0.37707
421.82,0.37945
422.82,0.3918
423.81,0.37423
424.8,0.38216
425.8,0.38358
426.79,0.38436
427.78,0.38262
428.77,0.3841
429.76,0.389
430.76,0.40066
431.75,0.39832
432.74,0.40604
433.73,0.40625
434.72,0.39458
435.71,0.40468
436.7,0.4089
437.69,0.40863
438.67,0.41268
439.66,0.41204
440.65,0.41755
441.64,0.41324
442.62,0.42169
443.61,0.42447
444.6,0.42536
445.58,0.42608
446.57,0.42673
447.55,0.42738
448.54,0.42476
449.52,0.42832
450.51,0.42579
451.49,0.42902
452.47,0.43235
453.46,0.42685
454.44,0.42726
455.42,0.4287
456.4,0.4292
457.39,0.43327
458.37,0.4308
459.35,0.42969
460.33,0.43388
461.31,0.43266
462.29,0.434
463.27,0.43297
464.25,0.43462
465.23,0.43457
466.2,0.43217
467.18,0.43347
468.16,0.43506
469.14,0.43161
470.11,0.43525
471.09,0.43617
472.07,0.43301
473.04,0.43441
474.02,0.43209
474.99,0.43431
475.97,0.43446
476.94,0.4315
477.92,0.43037
478.89,0.43096
479.86,0.43007
480.84,0.4289
481.81,0.42505
482.78,0.42996
483.75,0.42876
484.73,0.42487
485.7,0.42766
486.67,0.42558
487.64,0.42649
488.61,0.42349
489.58,0.42267
490.55,0.42315
491.52,0.42379
492.49,0.42206
493.45,0.41769
494.42,0.41997
495.39,0.41996
496.36,0.41791
497.32,0.4126
498.29,0.41396
499.26,0.41315
500.22,0.41464
501.19,0.41232
502.15,0.41152
503.12,0.41069
504.08,0.40992
505.05,0.40855
506.01,0.40725
506.97,0.40386
507.94,0.40385
508.9,0.40266
509.86,0.40128
510.82,0.39999
511.78,0.39934
512.75,0.39761
513.71,0.39507
514.67,0.39402
515.63,0.39623
516.59,0.39055
517.55,0.39058
518.51,0.38961
519.46,0.38956
520.42,0.38858
521.38,0.38543
522.34,0.38447
523.29,0.38403
524.25,0.38458
525.21,0.38064
526.16,0.3783
527.12,0.37647
528.08,0.37753
529.03,0.37341
529.99,0.37398
530.94,0.37138
531.89,0.37104
532.85,0.36854
533.8,0.3691
534.75,0.36839
535.71,0.36432
536.66,0.36365
537.61,0.3614
538.56,0.36041
539.51,0.35934
540.46,0.35687
541.41,0.35596
542.36,0.3554
543.31,0.35191
544.26,0.35292
545.21,0.35131
546.16,0.34914
547.11,0.34683
548.06,0.34713
549.01,0.34523
549.95,0.34219
550.9,0.34052
551.85,0.34035
552.79,0.3383
553.74,0.33707
554.68,0.33674
555.63,0.33373
556.57,0.33063
557.52,0.33036
558.46,0.32881
559.4,0.32722
560.35,0.32523
561.29,0.32452
562.23,0.32269
563.18,0.32107
564.12,0.3195
565.06,0.31618
566,0.31477
566.94,0.31372
567.88,0.31238
568.82,0.31158
569.76,0.30978
570.7,0.30832
571.64,0.30692
572.58,0.30451
573.52,0.30211
574.45,0.30018
575.39,0.2992
576.33,0.29819
577.27,0.29584
578.2,0.29442
579.14,0.294
580.07,0.2921
581.01,0.29175
581.94,0.28821
582.88,0.28527
583.81,0.28422
584.75,0.28276
585.68,0.28118
586.61,0.27972
587.55,0.27877
588.48,0.27622
589.41,0.27574
590.34,0.27377
591.27,0.27305
592.21,0.27112
593.14,0.26917
594.07,0.2676
595,0.26667
595.93,0.26482
596.86,0.26291
597.78,0.2612
598.71,0.26013
599.64,0.25838
600.57,0.25762
601.5,0.25441
602.42,0.25366
603.35,0.25231
604.28,0.24939
605.2,0.24878
606.13,0.24795
607.05,0.24607
607.98,0.24418
608.9,0.24192
609.83,0.23993
610.75,0.23937
611.68,0.23818
612.6,0.23662
613.52,0.23432
614.44,0.23328
615.37,0.23243
616.29,0.23056
617.21,0.22823
618.13,0.22655
619.05,0.22503
619.97,0.22482
620.89,0.22164
621.81,0.22008
622.73,0.22015
623.65,0.21819
624.57,0.21626
625.49,0.21493
626.4,0.21314
627.32,0.21125
628.24,0.21081
629.15,0.20805
630.07,0.208
630.99,0.2058
631.9,0.2045
632.82,0.20254
633.73,0.20198
634.65,0.19946
635.56,0.19849
636.48,0.19676
637.39,0.19581
638.3,0.19407
639.21,0.19308
640.13,0.19197
641.04,0.19024
641.95,0.18781
642.86,0.18678
643.77,0.18538
644.68,0.18417
645.59,0.18279
646.5,0.18226
647.41,0.17954
648.32,0.17861
649.23,0.17717
650.14,0.17652
651.05,0.17618
651.96,0.17336
652.86,0.17233
653.77,0.1699
654.68,0.16969
655.58,0.16771
656.49,0.16604
657.4,0.1646
658.3,0.16377
659.21,0.16246
660.11,0.16134
661.01,0.16005
661.92,0.15728
662.82,0.15684
663.72,0.15618
664.63,0.1553
665.53,0.15239
666.43,0.15215
667.33,0.15022
668.23,0.14982
669.14,0.14791
670.04,0.14757
670.94,0.14564
671.84,0.14451
672.74,0.14299
673.64,0.14221
674.53,0.14106
675.43,0.14034
676.33,0.13904
677.23,0.13765
678.13,0.13564
679.02,0.13531
679.92,0.13401
680.82,0.13311
681.71,0.13109
682.61,0.12982
683.5,0.12827
684.4,0.12703
685.29,0.12541
686.19,0.12494
687.08,0.12491
687.97,0.12325
688.87,0.12142
689.76,0.1214
690.65,0.12031
691.54,0.11887
692.44,0.11806
693.33,0.11709
694.22,0.11573
695.11,0.11437
696,0.11273
696.89,0.11223
697.78,0.11135
698.67,0.10972
699.56,0.10912
700.44,0.10853
701.33,0.1069
702.22,0.10588
703.11,0.10537
703.99,0.10496
704.88,0.10325
705.77,0.10078
706.65,0.10066
707.54,0.09964
708.42,0.09942
709.31,0.09801
710.19,0.09722
711.08,0.09589
711.96,0.09513
712.84,0.09423
713.73,0.0923
714.61,0.09209
715.49,0.09076
716.37,0.09049
717.26,0.09015
718.14,0.08856
719.02,0.08698
719.9,0.08712
720.78,0.08504
721.66,0.08465
722.54,0.08335
723.42,0.08382
724.3,0.08189
725.17,0.08127
726.05,0.08085
726.93,0.07983
727.81,0.07922
728.68,0.07809
729.56,0.07686
730.44,0.07548
731.31,0.07484
732.19,0.075
733.06,0.07402
733.94,0.07327
734.81,0.07194
735.69,0.07099
736.56,0.07133
737.43,0.06928
738.31,0.06907
739.18,0.06796
740.05,0.06742
740.92,0.0659
741.79,0.06515
742.67,0.06477
743.54,0.06464
744.41,0.06423
745.28,0.06328
746.15,0.0627
747.02,0.06194
747.89,0.06062
748.75,0.06049
749.62,0.05979
750.49,0.05832
751.36,0.05819
752.23,0.05716
753.09,0.05683
753.96,0.05565
754.83,0.05509
755.69,0.05361
756.56,0.05344
757.42,0.05263
758.29,0.05321
759.15,0.05122
760.01,0.05117
760.88,0.05042
761.74,0.05058
762.6,0.04981
763.47,0.04862
764.33,0.04734
765.19,0.04733
766.05,0.04691
766.91,0.04639
767.78,0.04549
768.64,0.04462
769.5,0.04269
770.36,0.04325
771.21,0.04299
772.07,0.04257
772.93,0.04192
773.79,0.04206
774.65,0.04133
775.51,0.04085
776.36,0.04002
777.22,0.03878
778.08,0.03871
778.93,0.03829
779.79,0.03743
780.64,0.03721
781.5,0.03717
782.35,0.03608
783.21,0.03617
784.06,0.03612
784.92,0.03504
785.77,0.03416
786.62,0.03332
787.47,0.03308
788.33,0.03334
789.18,0.03316
790.03,0.03271
790.88,0.03225
791.73,0.03077
792.58,0.0316
793.43,0.02967
794.28,0.02856
795.13,0.02793
795.98,0.02874
796.83,0.02852
797.68,0.02786
798.53,0.02767
799.37,0.02687
800.22,0.02744
801.07,0.02676
801.91,0.02598
802.76,0.02618
803.61,0.02586
804.45,0.02524
805.3,0.02398
806.14,0.02299
806.98,0.02356
807.83,0.02303
808.67,0.02367
809.52,0.02353
810.36,0.02134
811.2,0.02184
812.04,0.02124
812.89,0.02091
813.73,0.02068
814.57,0.02072
815.41,0.01919
816.25,0.02012
817.09,0.01807
817.93,0.01977
818.77,0.01822
819.61,0.01824
820.45,0.01914
821.28,0.01885
822.12,0.01768
822.96,0.01706
823.8,0.01745
824.63,0.01766
825.47,0.01733
826.31,0.01792
827.14,0.01499
827.98,0.01503
828.81,0.01459
829.65,0.01598
830.48,0.01381
831.31,0.01441
832.15,0.01498
832.98,0.01412
833.81,0.0142
834.65,0.01435
835.48,0.01258
836.31,0.01409
837.14,0.01269
837.97,0.01415
838.8,0.01036
839.63,0.01288
840.46,0.01201
841.29,0.01054
842.12,0.0121
842.95,0.01267
843.78,0.01174
844.61,0.01029
845.44,0.01087
846.26,0.01139
847.09,0.00996
847.92,0.01047
848.74,0.01055
849.57,0.01108
850.4,0.00956
851.22,0.01005
852.05,0.00801
852.87,0.01068
853.69,0.01068
854.52,0.01026
855.34,0.00866
856.17,0.00977
856.99,0.00876
857.81,0.00826
858.63,0.01038
